"user_id";"email";"phone";"username";"user_type"
101;"john.doe@example.com";9876543210;"johndoe";"buyer"
102;"jane.smith@example.com";9123456789;"janesmith";"buyer agent"
103;"alice.brown@example.com";9988776655;"alicebrown";"seller"
104;"michael.jones@example.com";9765432101;"michaeljones";"seller agent"
105;"emily.watson@example.com";9876123456;"emilywatson";"buyer"
106;"user106@example.com";9876567890;"user106";"buyer agent"
107;"user107@example.com";9123498765;"user107";"seller"
108;"user108@example.com";9988709876;"user108";"seller agent"
109;"user109@example.com";9765421980;"user109";"buyer agent"
110;"user110@example.com";9876198765;"user110";"buyer"
111;"user111@example.com";9876543209;"user111";"buyer"
112;"user112@example.com";9123456788;"user112";"buyer agent"
113;"user113@example.com";9988776644;"user113";"seller"
114;"user114@example.com";9765432191;"user114";"seller agent"
115;"user115@example.com";9876123445;"user115";"buyer"
116;"user116@example.com";9876543208;"user116";"buyer agent"
117;"user117@example.com";9123498754;"user117";"seller"
118;"user118@example.com";9988709865;"user118";"seller agent"
119;"user119@example.com";9765421979;"user119";"buyer agent"
120;"user120@example.com";9876198754;"user120";"buyer"
121;"user121@example.com";9876543207;"user121";"buyer"
122;"user122@example.com";9123456787;"user122";"buyer agent"
123;"user123@example.com";9988776633;"user123";"seller"
124;"user124@example.com";9765432182;"user124";"seller agent"
125;"user125@example.com";9876123434;"user125";"buyer"
126;"user126@example.com";9876543206;"user126";"buyer agent"
127;"user127@example.com";9123498743;"user127";"seller"
128;"user128@example.com";9988709854;"user128";"seller agent"
129;"user129@example.com";9765421968;"user129";"buyer agent"
130;"user130@example.com";9876198743;"user130";"buyer"
131;"user131@example.com";9876543205;"user131";"buyer"
132;"user132@example.com";9123456786;"user132";"buyer agent"
133;"user133@example.com";9988776622;"user133";"seller"
134;"user134@example.com";9765432173;"user134";"seller agent"
135;"user135@example.com";9876123423;"user135";"buyer"
136;"user136@example.com";9876543204;"user136";"buyer agent"
137;"user137@example.com";9123498732;"user137";"seller"
138;"user138@example.com";9988709843;"user138";"seller agent"
139;"user139@example.com";9765421957;"user139";"buyer agent"
140;"user140@example.com";9876198732;"user140";"buyer"
141;"user141@example.com";9876543203;"user141";"buyer"
142;"user142@example.com";9123456785;"user142";"buyer agent"
143;"user143@example.com";9988776611;"user143";"seller"
144;"user144@example.com";9765432164;"user144";"seller agent"
145;"user145@example.com";9876123412;"user145";"buyer"
146;"user146@example.com";9876543202;"user146";"buyer agent"
147;"user147@example.com";9123498721;"user147";"seller"
148;"user148@example.com";9988709832;"user148";"seller agent"
149;"user149@example.com";9765421946;"user149";"buyer agent"
150;"user150@example.com";9876198721;"user150";"buyer"
151;"user151@example.com";9876543201;"user151";"buyer"
152;"user152@example.com";9123456784;"user152";"buyer agent"
153;"user153@example.com";9988776600;"user153";"seller"
154;"user154@example.com";9765432155;"user154";"seller agent"
155;"user155@example.com";9876123401;"user155";"buyer"
156;"user156@example.com";9876543200;"user156";"buyer agent"
157;"user157@example.com";9123498710;"user157";"seller"
158;"user158@example.com";9988709821;"user158";"seller agent"
159;"user159@example.com";9765421935;"user159";"buyer agent"
160;"user160@example.com";9876198710;"user160";"buyer"
161;"user161@example.com";9876543215;"user161";"buyer"
162;"user162@example.com";9123456782;"user162";"buyer agent"
163;"user163@example.com";9988776610;"user163";"seller"
164;"user164@example.com";9765432171;"user164";"seller agent"
165;"user165@example.com";9876123432;"user165";"buyer"
166;"user166@example.com";9876543213;"user166";"buyer agent"
167;"user167@example.com";9123498768;"user167";"seller"
168;"user168@example.com";9988709873;"user168";"seller agent"
169;"user169@example.com";9765421987;"user169";"buyer agent"
170;"user170@example.com";9876198767;"user170";"buyer"
171;"user171@example.com";9876543214;"user171";"buyer"
172;"user172@example.com";9123456781;"user172";"buyer agent"
173;"user173@example.com";9988776609;"user173";"seller"
174;"user174@example.com";9765432168;"user174";"seller agent"
175;"user175@example.com";9876123409;"user175";"buyer"
176;"user176@example.com";9876543209;"user176";"buyer agent"
177;"user177@example.com";9123498767;"user177";"seller"
178;"user178@example.com";9988709872;"user178";"seller agent"
179;"user179@example.com";9765421986;"user179";"buyer agent"
180;"user180@example.com";9876198766;"user180";"buyer"
181;"user181@example.com";9876543212;"user181";"buyer"
182;"user182@example.com";9123456780;"user182";"buyer agent"
183;"user183@example.com";9988776608;"user183";"seller"
184;"user184@example.com";9765432167;"user184";"seller agent"
185;"user185@example.com";9876123408;"user185";"buyer"
186;"user186@example.com";9876543208;"user186";"buyer agent"
187;"user187@example.com";9123498766;"user187";"seller"
188;"user188@example.com";9988709871;"user188";"seller agent"
189;"user189@example.com";9765421985;"user189";"buyer agent"
190;"user190@example.com";9876198765;"user190";"buyer"
191;"user191@example.com";9876543211;"user191";"buyer"
192;"user192@example.com";9123456789;"user192";"buyer agent"
193;"user193@example.com";9988776607;"user193";"seller"
194;"user194@example.com";9765432166;"user194";"seller agent"
195;"user195@example.com";9876123407;"user195";"buyer"
196;"user196@example.com";9876543207;"user196";"buyer agent"
197;"user197@example.com";9123498765;"user197";"seller"
198;"user198@example.com";9988709870;"user198";"seller agent"
199;"user199@example.com";9765421984;"user199";"buyer agent"
200;"user200@example.com";9876543201;"user200";"seller"
